word,example
Abditory,"The king's abditory was a small, private room where he could meet with his advisors and discuss matters of state."
Abdomen,The baby had a distended abdomen.
Abdominal,The abdominal muscles contract during sit ups.
Abdominales,The woman is doing abdominales.
Abdominalia,Abdominalia are the muscles and tendons in the abdomen.
Abdominals,Abdominals are the muscles in the front of the torso.
Abdominoscopy,The Abdominoscopy is used to examine the abdomen.
Abdominothoracic,Abdominothoracic surgery involves the abdomen and chest.
Abdominous,The abdomenous bug was crawling along the tree branch.
Abduce,The aliens abducted the humans.
Abduced,A woman abducted from her home in the night.
Abducing,The scientist was abducting the alien to study it.
Abduct,Two aliens abduct a human from his home.
Abducted,A woman abducted by aliens was returned unharmed.
Abducting,Aliens abducting a human from his home.
Abducting,No example available
Abduction,Abduction of alien babies by UFO aliens.
Abductor,aliens abducting a human
Abeam,The ship passed abeam of the lighthouse.
Abear,A bear walks in the forest.
Abearance,Abearance should be practised by all people in society.
Abearing,A bearing is a part of a machine that helps it move smoothly.
Abecedarian,The little girl learned her ABCs in abecedari-an order.
Abecedary,The abecedary was a helpful tool for learning to read.
Abed,Abed is a funny character on the TV show Community.
Abegge,Abbegge is a surname.
Abele,Abele is a person's name.
Abelian,The group of integers modulo 2 is an Abelian group.
Abelite,Abelite is a type of metal alloy.
Abelmosk,Abelmosk is used to make perfume.
Abelonian,The Abelonian tradition is still alive today in many churches.
Aber-de-vine,Aber-de-vine is a village in the Scottish Highlands.
Aberr,The dog's aberrant behavior puzzled its owner.
Aberrance,The aberration in the data was due to a faulty sensor.
Aberrancy,The erratic behaviour of the child showed signs of aberrancy.
Aberrant,Aberrant behavior is atypical and often harmful.
Aberrate,The politician's aberrant behavior caused him to lose his bid for office.
Aberration,The aberration of the telescope prevented us from getting a clear picture of the stars.
Aberrational,The aberrant behavior of the child worried his parents.
Aberuncate,The lawyer aberuncated the case because there was no evidence.
Aberuncator,The aberuncator is used to remove the blockage from the pipe.
Abet,They abet the crime.
Abetment,Abetment of a crime is the act of knowingly and intentionally helping someone else commit a crime.
Abettal,The abettal of the crime was seen as a sign of weakness by the authorities.
Abetted,They were abetted by the mob.
Abetter,A better life is one where you are happy and healthy.
Abetting,The judge abetted the criminal by giving him a light sentence.
Abetting,No example available
Abettor,The abettor helped the criminal escape from prison.
Abevacuation,The Abevacuation of Tokyo was a major event in World War II.
Abeyance,The dispute was placed in abeyance until further notice.
Abeyancy,The abeyance of the treaty lasted for many years.
Abeyant,The legal case remained abeyant for several years.
Abhal,"Abhal is a beautiful word that means ""beautiful and lovely"" in Hindi."
Abhominable,Abominable weather conditions forced the cancellation of the flight.
Abhominal,Abominable weather conditions forced the cancellation of the flight.
Abhor,She abhors the idea of eating meat.
Abhorred,He abhorred the thought of eating insects.
Abhorrence,The abhorrence of war was evident in the peace talks.
Abhorrency,The abhorrence of war is a universal sentiment.
Abhorrent,The abhorrent treatment of animals in factory farms is a national disgrace.
Abhorrently,The man abhorently ate the rotten meat.
Abhorrer,The abhorrer of war was a pacifist.
Abhorrer,No example available
Abhorrible,The abhorrible weather forced us to stay inside.
Abhorring,She abhorred the thought of eating insects.
Abib,Abib is the first month of the Hebrew calendar.
Abid,Abid is a man who has a kind heart.
Abidance,The abiding love of a mother for her child is everlasting.
Abide,The couple abided by the rules of the church.
Abider,The abider of the law was rewarded for their good deeds.
Abiding,The couple abided by the rules of the church.
Abidingly,The couple abided by the rules of the church.
Abies,Abies is a type of evergreen tree.
Abietene,Abietine is a type of terpene that is found in pine trees.
Abietic,Abietic acids are a type of resin acid found in pine trees.
Abietin,Abietin is a resinous compound found in conifers.
Abietine,Abietine is a diterpene alcohol that is found in the needles of pines.
Abietinic,"The resinous, abietinic fragrance of the pine needles was strong."
Abietite,Abietite is a mineral that is found in granite.
Abigail,Abigail smiled at her husband.
Abiliment,The abiliment of the wizard was unmatched by any other.
Abilities,The abilities of the employees are a key part of the company's success.
Ability,She has the ability to speak three languages.
Abime,The diver was amazed by the beauty of the abyss.
Abiogenesis,Abiogenesis is the theory of how life came from non-living matter.
Abiogenetic,Abiogenesis is the theory that life arose from non-living matter.
Abiogenist,Abiogenists believe that life can arise from nonliving matter.
Abiogenous,Abiogenous minerals are formed from non-living sources.
Abiogeny,Abiogenesis is the theory of how life arose from non-living matter.
Abiological,The abiological parts of the cell are the cell wall and the plasma membrane.
Abirritant,The doctor recommended an abirritant to relieve my skin irritation.
Abirritate,"The woman was so acerbic, she managed to abirritate everyone in the room."
Abirritation,The abirritation cream soothed the rash on my skin.
Abirritative,The decision was made in an abirritative manner.
Abit,He was a bit of a loner.
Abject,The abject poverty of the people was a stark reminder of the disparity between rich and poor.
Abjectedness,The abjectedness of the homeless is a major social issue.
Abjection,The abjection of the homeless is a major social problem.
Abjectly,The child abjectly begged for mercy.
Abjectness,The abjectness of his situation was clear to everyone who saw him.
Abjudge,The judge abjudged the case to be settled.
Abjudicate,The judge abjudicated the case in favor of the defendant.
Abjudication,The judge's abjudication of the case was met with outrage by the public.
Abjugate,The politician abjurgated his previous comments.
Abjunctive,The abjunctive mood is used to express wishes or hopes.
Abjuration,The man uttered an abjuration before the judge.
Abjuratory,The abjuratory tone of the speech was clear to all who heard it.
Abjure,He abjured his former beliefs.
Abjured,The politician abjured all knowledge of the crime.
Abjurement,The abjurement was made in a public setting.
Abjurer,An abjuring wizard casts a spell to banish a demon from the realm.
Abjuring,The man abjured his past life of crime.
Ablactate,The calf was ablactated from its mother at 6 months.
Ablactation,Ablactation is the process of weaning a baby animal from its mother.
Ablaqueate,The farmer ablaqueated the field in order to prepare it for planting.
Ablaqueation,The ablaqueation of the site was completed in time for the new construction to begin.
Ablastemic,Ablastemic tumors are those that do not produce any mature cells.
Ablation,Laser ablation of skin cancer.
Ablatitious,"The ablative case of the noun ""man"" is ""ablatitious man""."
Ablative,The ablative case marks the indirect object of a verb.
Ablaut,"The vowel changes in the word ""foot"" are an example of ablaut."
Ablaze,The fire ablaze in the distance was a terrifying sight.
Able,The young girl was able to reach the top of the tree.
Able-bodied,The able-bodied man volunteered to help the elderly woman cross the street.
Ablegate,The ablegate represented the interests of the people of his region.
Ablegation,The ablegation of a debt is the transfer of the right to collect the debt from one person to another.
Able-minded,The able-minded woman completed her degree in record time.
Ablen,Ablen is a village in the district of Aschaffenburg.
Ableness,The ability to think outside the box is a rare ableness.
Ablepsy,The person had ablepsy and was unable to move their right arm.
Abler,The abler man finished the task first.
Ablet,Ablet is a kind of fish.
Abligate,The algae obligates the snail to live in freshwater.
Abligurition,The obligurition of the new employee was met with much fanfare.
Ablins,The Ablins are a family of bears who live in the forest.
Abloom,Roses abloom in the garden.
Ablude,The woman ablude before entering the temple.
Abluent,The abluent is used to remove dirt and grime from the surface.
Ablush,A blushing bride on her wedding day.
Ablution,The priest performs ablutions before entering the temple.
Ablutionary,Ablutionary bowl used in a religious ceremony
Abluvion,Abluvion is the process of washing away soil or sediment.
Ably,The cat ably scaled the tree to reach the bird's nest.
Abnegate,The monk abnegated all worldly possessions.
Abnegated,The politician abnegated his duties to his constituents.
Abnegating,A mother abnegates her own wants to ensure her children's needs are met.
Abnegation,Abnegation is the act of sacrificing your own personal gain for the good of others.
Abnegative,The abnegative mood is used to express negation.
Abnegator,An abnegator is someone who denies or renounces something.
Abnet,Abnet is a young woman who is studying to be a doctor.
Abnodate,The abnodate man was seen walking down the street.
Abnodation,Abnodation is the process of removing a node from a graph.
Abnormal,Abnormal behavior is something that is considered to be outside of the norm.
Abnormalities,Abnormalities are often found in medical tests.
Abnormality,Abnormality is a deviation from what is normal.
Abnormally,The plant had abnormally large leaves.
Abnormities,Abnormities in the brain can cause seizures.
Abnormity,the abnormality of the fetus was discovered during an ultrasound.
Abnormous,The abnormous crowd cheered on the team.
Aboard,"Aboard the cruise ship, the passengers are enjoying their vacation."
Abodance,The abundance of flowers in the garden was a sight to behold.
Abode,The abode was a cozy place to relax.
Abodement,the abodement of the soul
Aboding,A man abode in a small shack by the river.
Abolish,Parliament abolishes the death penalty.
Abolishable,The monarchy is an abolishable institution.
Abolished,Slavery was abolished in the United States in 1865.
Abolisher,The abolisher of slavery was a hero to many.
Abolishing,Parliament is abolishing the death penalty.
Abolishment,The abolition of slavery was a great step forward for human rights.
Abolition,Abolition of slavery was a major turning point in American history.
Abolitionism,Abolitionism was the movement to end slavery in the United States.
Abolitionist,Abolitionists fought to end slavery.
Abolitionize,The abolitionist movement sought to abolish slavery.
Aboma,Aboma is a genus of catfish.
Abomasum,The abomasum is the fourth stomach of a cow.
Abomasus,The abomasus is the third chamber of a cow's stomach.
Abominable,The abominable snowman is a creature of legend.
Abominableness,The abominableness of his behavior caused him to be shunned by all.
Abominably,The weather was abominably hot.
Abominate,I abominate the thought of eating snails.
Abominated,The dictator abominated the idea of democracy.
Abominating,"Abominating the thought of eating meat, the vegan chose a plant-based diet."
Abomination,The abomination of desolation will stand in the holy place.
Aboon,The eagle soars aboove the clouds.
Aboral,The aboral side of the sea star is usually white.
Abord,An airplane is approaching the abord of an aircraft carrier.
Aboriginal,Aboriginal people are an indigenous group of people from Australia.
Aboriginality,The Aboriginality of the land was acknowledged in the treaty.
Aboriginally,Aboriginally inspired art is on display at the museum.
Aborigines,Aborigines are the first people to live in Australia.
Aborsement,The aborsement of the child was traumatic for everyone involved.
Aborsive,The woman had an aborsive because she was not ready to be a mother.
Abort,The doctor aborted the pregnancy after the parents decided they didn't want the baby.
Aborted,The mission was aborted due to technical difficulties.
Aborticide,Aborticide is the deliberate termination of a human pregnancy.
Abortifacient,Mifepristone is an abortifacient.
Abortion,Abortion is a controversial topic.
Abortional,The protesters were holding up anti-abortion signs.
Abortionist,The abortionist was arrested for performing illegal abortions.
Abortive,The abortive attempt to rescue the hostages was a tragedy.
Abortively,The mission was abortedively carried out.
Abortiveness,The abortiveness of the project was due to a lack of funding.
Abortment,The abortion was illegal in the country.
Abought,Abought the hill was a beautiful meadow.
Abound,The seas abound with life.
Abounded,Flowers of all types abounded in the meadow.
Abounding,The abounding flowers in the garden filled the air with their sweet scent.
About,about the meaning of life
About-sledge,A man about to sledge down a mountain.
Above,A starry night sky above a small town
Aboveboard,His dealings were always aboveboard.
Above-cited,Above-cited study showed a strong correlation between age and risk of heart disease.
Abovedeck,A group of people relax abovedeck on a cruise ship.
Above-mentioned,Above-mentioned details can be found in the appendix.
Above-named,The above-named persons were present at the meeting.
Abovesaid,The abovesaid provisions shall apply to all persons.
Abox,A box of apples is on the table.
Abracadabra,"The magician said ""Abracadabra"" and the rabbit appeared."
Abradant,Abradant grits are used to sharpen blades.
Abrade,The sandpaper abraded the wood.
Abraded,The stone was abraded by the waves.
Abrading,The sandpaper was abrading the wood.
Abrahamic,"The Abrahamic religions are Judaism, Christianity, and Islam."
Abrahamitic,"Judaism, Christianity, and Islam are all Abrahamic religions."
Abraham-man,Abraham-man is a term used to describe a man who is devoted to his family and faith.
Abraid,The man abraided his son for being late.
Abram-man,Abram-man is a type of horned dinosaur that lived in the Late Cretaceous period.
Abranchial,Abranchial fish lack gills.
Abranchiata,The Abranchiata are a class of marine invertebrates.
Abranchiate,The abranchiate lamprey is a type of fish that lacks gills.
Abrase,Sandpaper abraded the surface of the wood.
Abrasion,The sandpaper caused an abrasion on my hand.
Abrasive,The abrasive material can be used to sand wood.
Abraum,"The waste rock, or tailings, is called the abraum."
Abraum salts,Abraum salts are salts that are produced as a byproduct of mining.
Abraxas,A 1st-century Gnostic amulet with the image of Abraxas.
Abray,Abray is a river in the United Kingdom.
Abreast,Two dogs swimming abreast of each other.
Abregge,The Abbrege is a popular children's book.
Abrenounce,The pope abjures the teachings of his predecessor.
Abrenunciation,The monk's abrenunciation of worldly possessions was a difficult but necessary step on his path to enlightenment.
Abreption,Abreption is the process of removing a fetus from the womb.
Abreuvoir,A horse drinks from an abreuvoir at a ranch.
Abricock,An abricock is a type of fruit.
Abridge,The story was abridged for the children's version.
Abridged,A 10-minute abridged version of the play was performed.
Abridger,The abridger shortened the long novel into a novella.
Abridging,The Constitution was amended to avoid abridging the freedom of speech.
Abridgment,The abridged version of the novel is available for children.
Abroach,He left the project abroach when he was fired.
Abroad,He studied abroad for two years.
Abrogable,The law is abrogable by the president.
Abrogate,The law was abrogated by the new government.
Abrogated,The treaty was abrogated by the President.
Abrogating,The legislature is in the process of abrogating the law.
Abrogation,The abrogation of the treaty was met with widespread disapproval.
Abrogative,The abrogative clause was removed from the contract.
Abrogator,The abrogators of the law were given medals for their efforts.
Abrood,A brood of chicks were following their mother around the barnyard.
Abrook,The children abrook in the shallow water.
Abrupt,The abrupt change in temperature caused the water to freeze.
Abruption,Abruption of the umbilical cord during childbirth.
Abruptly,The storm suddenly and abruptly stopped.
Abruptness,The abruptness of his departure took everyone by surprise.
Abscess,The pimple on my face turned into an abscess.
Abscesses,The doctor drained the abscesses on his back.
Abscession,The patient had an abscess on his knee.
Abscind,The leaves abscind from the tree in the fall.
Abscision,the abscission of leaves from a tree
Absciss,"The abscissa of the point (4, 2) is 4."
Abscissa,The ordinate is plotted against the abscissa.
Abscissae,Abscissae are the horizontal values on a graph.
Abscissas,"The abscissas of the three points are 1, 2, and 3."
Abscisses,The abscisses of the points are the x coordinates of the points.
Abscission,Abscission causes leaves to fall off trees.
Abscond,fugitives abscond to avoid capture
Absconded,He absconded to avoid paying his taxes.
Abscondence,The abscondence of the suspect is a major concern for the police.
Absconder,An absconder is a person who has escaped from legal custody.
Absconding,A man absconding from the police.
Absence,The absence of evidence is not evidence of absence.
Absent,The absent student will not be able to take the test.
Absentaneous,The absentaneous student was sent to the principal's office.
Absentation,The absenteeism rate at the company was high.
Absented,The children absented themselves from school.
Absentee,The absentee student received a failing grade.
Absenteeism,Low employee absenteeism is important to a company's productivity.
Absenter,The students were absent from school today.
Absenting,students absenting themselves from school
Absently,The woman absently played with her hair while she talked on the phone.
Absentment,The absentment of the student was noted by the teacher.
Absent-minded,The absent-minded professor forgot his keys at home.
Absentness,An absence of color in the room created a feeling of calm.
Absey-book,An absey-book is a book that teaches children the alphabet.
Absinth,A glass of absinthe sits on a table next to a lit candle.
Absinthate,Absinthate is a bitter compound found in the common wormwood plant.
Absinthe,The bartender poured the absinthe into a glass.
Absinthial,Absinthial liquid in a glass on a table.
Absinthian,Absinthian hues of green and blue paint the walls.
Absinthiate,Absinthiate is a colorless liquid used as a flavoring agent.
Absinthiated,The absinthiated man staggered down the street.
Absinthic,An absinthe drinker is described as absintheic.
Absinthin,Absinthin is a bitter compound found in absinthe.
Absinthism,Absinthism is the addiction to absinthe.
Absinthium,Absinthium is a bitter herb that is used to make absinthe.
Absis,"The ordinate is the vertical coordinate of a point in a coordinate system, the abscis is the horizontal coordinate."
Absist,The politician abstained from voting.
Absistence,The abstention of one member from the vote did not affect the outcome.
Absolute,The absolute truth is that everyone is unique.
Absolutely,Absolutely not!
Absoluteness,The absoluteness of truth is a matter of debate.
Absolution,The priest granted absolution to the repentant sinner.
Absolutism,Absolutism is a form of government in which the ruler has unlimited power.
Absolutist,An absolutist believed that the king had unlimited power.
Absolutistic,The absolutistic ruler believed in his own divine right to rule.
Absolutory,The judge's absolutory verdict cleared the defendant of all charges.
Absolvable,His sins were absolved by the priest.
Absolvatory,The judge gave an absolvatory sentence to the defendant.
Absolve,The judge absolved the defendant of all charges.
Absolved,The court absolved the defendant of all charges.
Absolvent,Absolvent of the university is looking for a job.
Absolver,A person is absolved of their sins.
Absolving,The judge absolved the defendant of all charges.
Absonant,The sound of the piano was absonian to the rest of the orchestra.
Absonous,The abstruse and absonsous text was difficult to understand.
Absorb,The sponge absorbs water.
Absorbability,The high absorbability of the medicine makes it ideal for children.
Absorbable,The absorbable dressing was quickly absorbed by the wound.
Absorbed,The sun's rays are absorbed by the leaves.
Absorbedly,The girl was absorbedly reading a book in the park.
Absorbency,Absorbency is how well something absorbs liquid.
Absorbent,The absorbent cloth soaks up all the liquid.
Absorber,The absorber is covered in tiny holes to allow sound to enter.
Absorbing,The book was so absorbing that I couldn't put it down.
Absorbition,Absorption of nutrients by plants is essential for growth.
Absorpt,Sunlight is absorbed by green leaves.
Absorption,The absorption of water into the roots of a plant.
Absorptive,The absorptive layer of the stomach is lined with mucous membranes.
Absorptiveness,The absorptiveness of the paper towels was good.
Absorptivity,The absorptivity of a surface is the fraction of incident light that is absorbed by the surface.
Absquatulate,The group of thieves absquatulated in the middle of the night.
Absque hoc,"Absque hoc, the world would be a much different place."
Abstain,The senator abstained from voting on the bill.
Abstained,The senator abstained from voting on the bill.
Abstainer,Abstainers are people who abstain from alcohol.
Abstaining,He abstained from voting because he was not sure who to vote for.
Abstemious,The abstemious monk only drank water.
Abstemiousness,Abstemiousness is the practice of abstaining from alcohol.
Abstention,The politician abstained from voting on the bill.
Abstentious,The ascetic man lived an abstentious lifestyle.
Absterge,The surgeon absters the wound with a towel.
Abstergent,A nurse uses an astringent to clean her patient's wound.
Absterse,The man abstersed himself after a long day of work.
Abstersion,The monk practised abstersion by washing his body every day.
Abstersive,A doctor uses an abstersive to clean a wound.
Abstersiveness,The ascetic's abstemiousness was a source of wonder to his followers.
Abstinence,Abstinence from alcohol is necessary for a driver's license.
Abstinency,Abstinence is the practice of refraining from sexual activity.
Abstinent,The monk is an abstinent man.
Abstinently,The man abstained from alcohol for a month.
Abstorted,"He was abstorted in his thoughts, unaware of the world around him."
Abstract,The abstract of the paper describes its main findings.
Abstracted,An abstracted painting hangs on the wall.
Abstractedly,The man stared abstractedly out the window.
Abstractedness,The abstraction of the painting made it difficult to understand.
Abstracter,The abstracter summarized the paper's key points.
Abstracting,She is abstracting the main points of the conversation.
Abstraction,Abstraction is the process of removing details from an object to create a more general representation.
Abstractional,The abstractional painting hangs on the wall of the gallery.
Abstractionist,Abstractionist artist paints a picture of a flower.
Abstractitious,His abstractitious ideas made it difficult to communicate with him.
Abstractive,The abstractive summary of the article was concise and to the point.
Abstractively,The painting was abstractively represented.
Abstractiveness,Abstractiveness is the quality of being abstract.
Abstractly,He thought abstractly about the problem.
Abstractness,The abstractness of the painting made it difficult to understand.
Abstringe,The tea abstringes the mouth.
Abstrude,A piece of art abstracts the subject matter.
Abstruse,The abstruse concepts in the book were difficult to understand.
Abstrusely,The professor explained the concept abstrusely.
Abstruseness,The abstruseness of his theories made it difficult to understand them.
Abstrusion,The abstrusion of the tooth caused pain.
Abstrusity,The abstruse nature of the research made it difficult for the students to understand.
Absumption,The absumption of the new idea was met with enthusiasm.
Absurd,The absurd idea of flying cars has captured the imagination of many people.
Absurdities,The absurdities of life are what make it so interesting.
Absurdity,The absurdity of the situation made her laugh out loud.
Absurdly,The absurdity of the situation made us laugh.
Absurdness,The absurdity of the situation made her laugh.
Abuna,Abuna is a title given to the head of the Ethiopian Orthodox Tewahedo Church.
Abundance,The abundance of natural resources led to the development of a thriving economy.
Abundant,The abundant flowers add color to the garden.
Abundantly,The garden was abundantly filled with flowers of all different colors.
Aburst,A burst of laughter erupted from the group of friends.
Abusable,Abusable software has many security vulnerabilities.
Abusage,The abuse of alcohol is a major problem in many countries.
Abuse,No example available
Abuse,He was accused of child abuse.
Abuse,Words can wound deeply if spoken with abuse.
Abused,No example available
Abused,She was abused by her stepfather.
Abuseful,Abusing the system is not a good idea.
Abuser,No example available
Abuser,The abuser was sentenced to prison.
Abusing,No example available
Abusing,He was caught abusing animals.
Abusion,The abuse of power by government officials is a serious problem.
Abusion,No example available
Abusive,No example available
Abusive,His behavior was abusive and harmful.
Abusively,No example available
Abusively,She was abused verbally and physically.
Abusiveness,No example available
Abusiveness,The abusiveness of his comments was shocking.
Abut,Two houses abutted each other along the street.
Abutilon,The abutilon plant is a beautiful flowering plant that is native to tropical regions.
Abutment,The abutments of the bridge were made of stone.
Abuttal,The abuttal of the property is the east side of the road.
Abutted,The two houses abutted the edge of the woods.
Abutter,The abutters of the property were notified of the pending sale.
Abutting,Two buildings abutting each other on the corner.
Abuzz,Abuzz with activity in the kitchen.
Aby,"Abby wanted to be an actress, so she moved to Hollywood to try her luck."
Abye,Abye is a beautiful name for a girl.
Abyme,"Looking into the abyss, he felt a sense of dread."
Abysm,The abyss of despair opened up before him.
Abysmal,The abysmal situation required immediate action.
Abysmally,The food was abysmally bad.
Abyss,A diver looks into the abyss.
Abyssal,The abyssal zone is the deepest part of the ocean.
Abyssinian,An Abyssinian cat plays with a ball of yarn.
Acacia,Acacia trees are found in Australia.
Acaciae,Acaciae is a genus of flowering plants.
Acacias,"Acacias can be found in hot, dry climates."
Acacin,An acacia tree in the desert.
Acacine,Acaciane is a yellow dye found in acacia plants.
Academe,The academe is a place of learning.
Academial,The academial achievements of the students were celebrated.
Academian,The academician wrote a paper on the history of the university.
Academic,A young academic is working on her research.
Academical,The academical year is from September to June.
Academically,"Academically, she was a very bright student."
Academicals,The rugby club's players wore their academicals for the match.
Academician,Academician is a person who is a member of an academy.
Academicism,Academicism is the adherence to traditional academic values.
Academies,There are many academies in the UK.
Academism,Academism is the adherence to traditional academic standards of art.
Academist,A prominent academician lectures to a group of students.
Academy,A group of soldiers standing outside the academy.
Acadian,The Acadians built a community in Louisiana.
Acajou,Acajou is a type of wood.
Acaleph,A jellyfish is an example of an acaleph.
Acalephae,Acalephae are a class of marine invertebrates.
Acalephan,An acalephan is a free-swimming marine coelenterate.
Acalephans,Acalephans are a class of marine animals that includes jellyfish and sea anemones.
Acalephoid,Acalephoid jellyfish live in the ocean.
Acalephs,Acalephs are a type of jellyfish.
Acalycine,Acalycine is a poisonous alkaloid found in the plants of the genus Acalypha.
Acalysinous,Acalysinous is a genus of sea snails.
Acanth,"The acanth is a small, spiny fish that lives in the ocean."
Acantha,"Acanthas are small, sharp spines on a cactus."
Acanthaceous,The acacia tree is an example of an acanthaceous plant.
Acanthi,Acanthi are a family of sea urchins.
Acanthine,The acanthine fish swam in the coral reef.
Acanthocarpous,Acanthocarpous fruits are fruits with spines or prickles.
Acanthocephala,Acanthocephala are a phylum of parasitic worms.
Acanthocephalous,Acanthocephalous worms are parasitic.
Acanthophorous,Acanthophorous ants use their spines to defend themselves.
Acanthopodious,Acanthopodious organisms have spines on their legs.
